2025/06/28 09:43:09 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:10 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:12 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:14 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:18 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:24 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:38 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:04 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:45:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 10:39:57 [error] 52#52: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080"
2025/07/03 02:00:51 [warn] 25#25: *7202 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/05/0000000052 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 02:53:55 [warn] 22#22: *7438 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/05/0000000053 while reading upstream, client: 220.196.160.96, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 07:16:21 [warn] 23#23: *8088 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/05/0000000054 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 07:16:27 [warn] 25#25: *8133 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/05/0000000055 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 08:02:02 [warn] 25#25: *8235 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/05/0000000056 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 08:02:14 [warn] 24#24: *8289 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/05/0000000057 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 08:03:57 [warn] 22#22: *8307 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/05/0000000058 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 08:04:06 [warn] 22#22: *8351 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/05/0000000059 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 10:12:00 [warn] 24#24: *8671 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/06/0000000060 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 10:12:06 [warn] 23#23: *8720 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/06/0000000061 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 11:02:24 [warn] 22#22: *8853 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/06/0000000062 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 11:02:32 [warn] 25#25: *8900 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/06/0000000063 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 11:05:26 [warn] 25#25: *8920 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/06/0000000064 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 11:05:36 [warn] 23#23: *8974 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/06/0000000065 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 12:09:28 [warn] 23#23: *31 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 139.199.162.133, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080"
2025/07/03 13:22:16 [warn] 21#21: *191 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 27.44.122.151, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080"
2025/07/03 16:41:39 [warn] 22#22: *626 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 16:41:46 [warn] 23#23: *669 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 18:04:08 [warn] 24#24: *853 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 18:04:18 [warn] 21#21: *902 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 18:06:00 [warn] 21#21: *918 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 18:06:07 [warn] 23#23: *966 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 19:22:45 [warn] 24#24: *1174 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/00/0000000009 while reading upstream, client: 180.101.244.16, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 19:22:46 [warn] 21#21: *1198 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/01/0000000010 while reading upstream, client: 59.83.208.106, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 23:35:02 [warn] 24#24: *1811 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/01/0000000011 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 23:35:12 [warn] 21#21: *1854 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/01/0000000012 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/04 00:16:21 [warn] 22#22: *1952 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/01/0000000013 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/04 00:16:29 [warn] 23#23: *1998 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/01/0000000014 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/04 00:17:43 [warn] 23#23: *2016 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/01/0000000015 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/04 00:17:50 [warn] 24#24: *2058 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/01/0000000016 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.3:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
