2025/06/28 09:43:09 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:10 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:12 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:14 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:18 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:24 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:38 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:04 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:45:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 10:39:57 [error] 52#52: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080"
2025/07/01 08:47:35 [warn] 25#25: *365 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 08:52:46 [warn] 25#25: *397 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 59.83.208.107, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 12:51:52 [warn] 22#22: *994 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 12:52:05 [warn] 25#25: *1037 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 12:53:25 [warn] 24#24: *1054 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 12:53:33 [warn] 23#23: *1098 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/00/0000000009 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 16:50:27 [warn] 22#22: *1613 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/01/0000000010 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 16:50:34 [warn] 25#25: *1660 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/01/0000000011 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 16:51:57 [warn] 24#24: *1673 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/01/0000000012 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 16:52:05 [warn] 23#23: *1721 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/01/0000000013 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/01 20:51:43 [warn] 22#22: *2235 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/01/0000000014 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/01 20:51:50 [warn] 25#25: *2277 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/01/0000000015 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
